pathway,8882 ZPR1,51020 HDDC2,9317 PTER,84696 ABHD1,171586 ABHD3,11057 ABHD2,116236 ABHD15,256130 TMEM196,389177 TMEM212,1687 GSDME,494513 PJVK,54877 ZCCHC2,285600 C5orf36,339453 TMEM240,1819 DRG2,256302 NATD1,10741 RBBP9,56948 SDR39U1,123207 C15orf40
has99996 General function prediction only,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
has99997 Function unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
