pathway,57521 RPTOR,2475 MTOR,64223 MLST8,9706 ULK2,9776 ATG13,60673 ATG101,3476 IGBP1,5515 PPP2CA,5516 PPP2CB,285973 ATG9B,79065 ATG9A,23130 ATG2A,55102 ATG2B,26100 WIPI2,55062 WIPI1,8678 BECN1,441925 BECN2,5289 PIK3C3,30849 PIK3R4,9140 ATG12,9474 ATG5,55054 ATG16L1,10533 ATG7,83734 ATG10,64422 ATG3,11337 GABARAP,23710 GABARAPL1,11345 GABARAPL2,115201 ATG4A,23192 ATG4B,84938 ATG4C,84971 ATG4D,23786 BCL2L13,9451 EIF2AK3,468 ATF4,5599 MAPK8,5602 MAPK10,5601 MAPK9,3725 JUN,65018 PINK1,54543 TOMM7,5071 PRKN,7311 UBA52,6233 RPS27A,7314 UBB,7316 UBC,55669 MFN1,9927 MFN2,55288 RHOT1,89941 RHOT2,9101 USP8,9958 USP15,84749 USP30,8887 TAX1BP1,8878 SQSTM1,10241 CALCOCO2,10133 OPTN,4077 NBR1,29110 TBK1,440738 MAP1LC3C,81631 MAP1LC3B,84557 MAP1LC3A,643246 MAP1LC3B2,55626 AMBRA1,4286 MITF,7942 TFEB,7030 TFE3,598 BCL2L1,192111 PGAM5,1457 CSNK2A1,1459 CSNK2A2,283106 CSNK2A3,1460 CSNK2B,6714 SRC,8408 ULK1,139341 FUNDC1,3091 HIF1A,1869 E2F1,5970 RELA,664 BNIP3,3265 HRAS,3845 KRAS,4893 NRAS,22808 MRAS,6237 RRAS,22800 RRAS2,7157 TP53,665 BNIP3L,2309 FOXO3,10370 CITED2,6667 SP1,64786 TBC1D15,79735 TBC1D17,7879 RAB7A,338382 RAB7B,51024 FIS1,3630 INS,3480 IGF1R,3667 IRS1,8660 IRS2,8471 IRS4,5290 PIK3CA,5293 PIK3CD,5291 PIK3CB,5295 PIK3R1,5296 PIK3R2,8503 PIK3R3,5170 PDPK1,207 AKT1,208 AKT2,10000 AKT3,5728 PTEN,5894 RAF1,5604 MAP2K1,5605 MAP2K2,5594 MAPK1,5595 MAPK3,54541 DDIT4,7249 TSC2,7248 TSC1,6009 RHEB,64798 DEPTOR,84335 AKT1S1,6198 RPS6KB1,6199 RPS6KB2,9821 RB1CC1,55578 SUPT20H,140775 SMCR8,55255 WDR41,203228 C9orf72,4218 RAB8A,116442 RAB39B,10010 TANK,5861 RAB1A,10670 RRAGA,10325 RRAGB,64121 RRAGC,58528 RRAGD,6794 STK11,5562 PRKAA1,5563 PRKAA2,5566 PRKACA,5567 PRKACB,5568 PRKACG,5580 PRKCD,596 BCL2,572 BAD,29982 NRBF2,22863 ATG14,7189 TRAF6,58476 TP53INP2,81671 VMP1,55014 STX17,7405 UVRAG,51100 SH3GLB1,9711 RUBCN,10645 CAMKK2,6885 MAP3K7,2081 ERN1,3708 ITPR1,1612 DAPK1,1613 DAPK3,23604 DAPK2,3146 HMGB1,118471 PRAP1,440275 EIF2AK4,1965 EIF2S1,8897 MTMR3,9110 MTMR4,64419 MTMR14,53349 ZFYVE1,89849 ATG16L2,8837 CFLAR,83452 RAB33B,5588 PRKCQ,3916 LAMP1,3920 LAMP2,8673 VAMP8,9342 SNAP29,1509 CTSD,1514 CTSL,1508 CTSB,10312 TCIRG1,23545 ATP6V0A2,50617 ATP6V0A4,535 ATP6V0A1,9114 ATP6V0D1,245972 ATP6V0D2,51606 ATP6V1H,537 ATP6AP1,527 ATP6V0C,533 ATP6V0B,5476 CTSA,1075 CTSC,1510 CTSE,8722 CTSF,1511 CTSG,1512 CTSH,1513 CTSK,1519 CTSO,1520 CTSS,1515 CTSV,1521 CTSW,1522 CTSZ,9476 NAPSA,5641 LGMN,1200 TPP1,2717 GLA,2720 GLB1,2548 GAA,2629 GBA,3425 IDUA,4668 NAGA,4669 NAGLU,2581 GALC,2990 GUSB,2517 FUCA1,2519 FUCA2,3073 HEXA,3074 HEXB,4126 MANBA,4125 MAN2B1,4758 NEU1,8692 HYAL2,3373 HYAL1,6677 SPAM1,23553 HYAL4,8372 HYAL3,410 ARSA,411 ARSB,22901 ARSG,2588 GALNS,2799 GNS,3423 IDS,6448 SGSH,3988 LIPA,23659 PLA2G15,1777 DNASE2,58511 DNASE2B,53 ACP2,54 ACP5,6609 SMPD1,427 ASAH1,175 AGA,5660 PSAP,768239 PSAPL1,2760 GM2A,5538 PPT1,9374 PPT2,27074 LAMP3,968 CD68,967 CD63,950 SCARB2,4864 NPC1,10577 NPC2,1497 CTNS,26503 SLC17A5,6556 SLC11A1,4891 SLC11A2,55353 LAPTM4B,7805 LAPTM5,9741 LAPTM4A,20 ABCA2,23457 ABCB9,8763 CD164,9583 ENTPD4,6272 SORT1,1201 CLN3,1203 CLN5,256471 MFSD8,138050 HGSNAT,285362 SUMF1,79158 GNPTAB,84572 GNPTG,51172 NAGPA,3482 IGF2R,4074 M6PR,1211 CLTA,1212 CLTB,1213 CLTC,8218 CLTCL1,164 AP1G1,8906 AP1G2,162 AP1B1,8907 AP1M1,10053 AP1M2,1174 AP1S1,8905 AP1S2,130340 AP1S3,8943 AP3D1,8120 AP3B2,8546 AP3B1,26985 AP3M1,10947 AP3M2,10239 AP3S2,1176 AP3S1,23431 AP4E1,10717 AP4B1,9179 AP4M1,11154 AP4S1,23062 GGA2,23163 GGA3,26088 GGA1,57192 MCOLN1,9516 LITAF,382 ARF6,23396 PIP5K1C,8394 PIP5K1A,8395 PIP5K1B,138429 PIP5KL1,5337 PLD1,5338 PLD2,1759 DNM1,26052 DNM3,1785 DNM2,161 AP2A2,160 AP2A1,163 AP2B1,1173 AP2M1,1175 AP2S1,30846 EHD2,7046 TGFBR1,7048 TGFBR2,9372 ZFYVE9,9765 ZFYVE16,5371 PML,4087 SMAD2,4088 SMAD3,7037 TFRC,1956 EGFR,5156 PDGFRA,2263 FGFR2,2261 FGFR3,2264 FGFR4,867 CBL,868 CBLB,23624 CBLC,30011 SH3KBP1,6457 SH3GL3,6456 SH3GL2,6455 SH3GL1,56904 SH3GLB2,273 AMPH,274 BIN1,29924 EPN1,55040 EPN3,22905 EPN2,2060 EPS15,58513 EPS15L1,23111 SPART,4734 NEDD4,23327 NEDD4L,4193 MDM2,10193 RNF41,83737 ITCH,57154 SMURF1,64750 SMURF2,11059 WWP1,3949 LDLR,26119 LDLRAP1,1601 DAB2,1234 CCR5,3577 CXCR1,3579 CXCR2,7852 CXCR4,131890 GRK7,6011 GRK1,156 GRK2,157 GRK3,2868 GRK4,2869 GRK5,2870 GRK6,408 ARRB1,409 ARRB2,8976 WASL,10097 ACTR2,57180 ACTR3B,653857 ACTR3C,10096 ACTR3,10095 ARPC1B,10552 ARPC1A,10109 ARPC2,10094 ARPC3,10093 ARPC4,10092 ARPC5,81873 ARPC5L,147179 WIPF2,7456 WIPF1,644150 WIPF3,3312 HSPA8,3303 HSPA1A,3306 HSPA2,3305 HSPA1L,3304 HSPA1B,3310 HSPA6,9829 DNAJC6,23325 WASHC4,9897 WASHC5,253725 WASHC2C,387680 WASHC2A,100287171 WASHC1,51019 WASHC3,829 CAPZA1,830 CAPZA2,93661 CAPZA3,832 CAPZB,51699 VPS29,112936 VPS26B,9559 VPS26A,55737 VPS35,29934 SNX12,8724 SNX3,10617 STAMBP,9146 HGS,10254 STAM2,8027 STAM,7251 TSG101,93343 MVB12A,89853 MVB12B,51160 VPS28,155382 VPS37D,137492 VPS37A,79720 VPS37B,55048 VPS37C,11267 SNF8,51028 VPS36,84313 VPS25,79643 CHMP6,128866 CHMP4B,29082 CHMP4A,92421 CHMP4C,51652 CHMP3,100526767 RNF103-CHMP3,27243 CHMP2A,25978 CHMP2B,91782 CHMP7,9525 VPS4B,27183 VPS4A,51534 VTA1,57132 CHMP1B,5119 CHMP1A,51510 CHMP5,9798 IST1,10015 PDCD6IP,51324 SPG21,6642 SNX1,6643 SNX2,254122 SNX32,27131 SNX5,58533 SNX6,3559 IL2RA,3560 IL2RB,3561 IL2RG,387 RHOA,3105 HLA-A,3106 HLA-B,3107 HLA-C,3134 HLA-F,3135 HLA-G,3133 HLA-E,2348 FOLR1,2350 FOLR2,2352 FOLR3,390243 IZUMO1R,857 CAV1,858 CAV2,859 CAV3,30845 EHD3,30844 EHD4,8411 EEA1,5868 RAB5A,5869 RAB5B,5878 RAB5C,9135 RABEP1,64145 RBSN,5867 RAB4A,80230 RUFY1,55680 RUFY2,10938 EHD1,11311 VPS45,8723 SNX4,57403 RAB22A,11031 RAB31,10890 RAB10,11021 RAB35,8766 RAB11A,9230 RAB11B,22841 RAB11FIP2,80223 RAB11FIP1,26056 RAB11FIP5,118813 ZFYVE27,3798 KIF5A,3799 KIF5B,3800 KIF5C,84440 RAB11FIP4,9727 RAB11FIP3,56288 PARD3,50855 PARD6A,84552 PARD6G,84612 PARD6B,5590 PRKCZ,5584 PRKCI,998 CDC42,64744 SMAP2,60682 SMAP1,28964 GIT1,9815 GIT2,50807 ASAP1,55616 ASAP3,8853 ASAP2,116983 ACAP3,23527 ACAP2,9744 ACAP1,116985 ARAP1,116984 ARAP2,64411 ARAP3,116987 AGAP1,116988 AGAP3,119016 AGAP4,414189 AGAP6,642517 AGAP9,729092 AGAP5,116986 AGAP2,55738 ARFGAP1,26286 ARFGAP3,84364 ARFGAP2,23362 PSD3,23550 PSD4,5662 PSD,84249 PSD2,23096 IQSEC2,9922 IQSEC1,440073 IQSEC3,9265 CYTH3,27128 CYTH4,9266 CYTH2,9267 CYTH1,10564 ARFGEF2,10565 ARFGEF1,8729 GBF1,375 ARF1,377 ARF3,378 ARF4,381 ARF5,9341 VAMP3,23673 STX12,8417 STX7,71 ACTG1,60 ACTB,11151 CORO1A,53407 STX18,9554 SEC22B,3108 HLA-DMA,3109 HLA-DMB,3111 HLA-DOA,3112 HLA-DOB,3113 HLA-DPA1,3115 HLA-DPB1,3117 HLA-DQA1,3118 HLA-DQA2,3119 HLA-DQB1,3122 HLA-DRA,3123 HLA-DRB1,3125 HLA-DRB3,3126 HLA-DRB4,3127 HLA-DRB5,523 ATP6V1A,525 ATP6V1B1,526 ATP6V1B2,245973 ATP6V1C2,528 ATP6V1C1,51382 ATP6V1D,90423 ATP6V1E2,529 ATP6V1E1,9296 ATP6V1F,9550 ATP6V1G1,127124 ATP6V1G3,534 ATP6V1G2,8992 ATP6V0E1,155066 ATP6V0E2,83547 RILP,1778 DYNC1H1,79659 DYNC2H1,1780 DYNC1I1,1781 DYNC1I2,1783 DYNC1LI2,51143 DYNC1LI1,10376 TUBA1B,7277 TUBA4A,7278 TUBA3C,7846 TUBA1A,84790 TUBA1C,51807 TUBA8,112714 TUBA3E,113457 TUBA3D,79861 TUBAL3,84617 TUBB6,203068 TUBB,81027 TUBB1,7280 TUBB2A,10381 TUBB3,10382 TUBB4A,347688 TUBB8,347733 TUBB2B,10383 TUBB4B,200576 PIKFYVE,4842 NOS1,4353 MPO,29927 SEC61A1,55176 SEC61A2,10952 SEC61B,23480 SEC61G,6890 TAP1,6891 TAP2,811 CALR,821 CANX,2204 FCAR,2209 FCGR1A,2212 FCGR2A,2213 FCGR2B,9103 FCGR2C,2214 FCGR3A,2215 FCGR3B,102723407 IGH,715 C1R,3684 ITGAM,3689 ITGB2,718 C3,78989 COLEC11,81035 COLEC12,4153 MBL2,653509 SFTPA1,729238 SFTPA2,6441 SFTPD,3685 ITGAV,3673 ITGA2,3678 ITGA5,3688 ITGB1,3690 ITGB3,3693 ITGB5,7057 THBS1,1311 COMP,7058 THBS2,7059 THBS3,7060 THBS4,7097 TLR2,10333 TLR6,7099 TLR4,929 CD14,22925 PLA2R1,4360 MRC1,9902 MRC2,10332 CLEC4M,30835 CD209,64581 CLEC7A,4481 MSR1,8685 MARCO,4973 OLR1,949 SCARB1,948 CD36,1535 CYBA,1536 CYBB,5879 RAC1,653361 NCF1,4688 NCF2,4689 NCF4,9409 PEX16,8504 PEX3,5824 PEX19,5825 ABCD3,5189 PEX1,5190 PEX6,55670 PEX26,5191 PEX7,5830 PEX5,51555 PEX5L,5195 PEX14,5194 PEX13,5193 PEX12,5192 PEX10,5828 PEX2,5827 PXMP2,4358 MPV17,84769 MPV17L2,255027 MPV17L,11264 PXMP4,8800 PEX11A,8799 PEX11B,92960 PEX11G,10478 SLC25A17,26061 HACL1,23600 AMACR,5264 PHYH,8310 ACOX3,51 ACOX1,8309 ACOX2,3295 HSD17B4,6342 SCP2,570 BAAT,1962 EHHADH,30 ACAA1,26063 DECR2,1891 ECH1,215 ABCD1,225 ABCD2,5826 ABCD4,11001 SLC27A2,23305 ACSL6,2182 ACSL4,2180 ACSL1,51703 ACSL5,2181 ACSL3,55825 PECR,10455 ECI2,283927 NUDT7,83594 NUDT12,390916 NUDT19,10005 ACOT8,1384 CRAT,54677 CROT,23417 MLYCD,8443 GNPAT,8540 AGPS,55711 FAR2,84188 FAR1,4598 MVK,10654 PMVK,189 AGXT,1610 DAO,8528 DDO,3417 IDH1,3418 IDH2,196743 PAOX,51268 PIPOX,3155 HMGCL,54511 HMGCLL1,51179 HAO2,54363 HAO1,847 CAT,25824 PRDX5,6647 SOD1,6648 SOD2,4843 NOS2,5052 PRDX1,2053 EPHX2,373156 GSTK1,7498 XDH,10901 DHRS4
has04136 Autophagy  other ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04137 Mitophagy  animal ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04140 Autophagy  animal ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04142 Lysosome ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
