pathway,53343 NUDT9,56985 ADPRM,11164 NUDT5,5236 PGM1,55276 PGM2,221823 PRPS1L1,5634 PRPS2,5631 PRPS1,5471 PPAT,2618 GART,5198 PFAS,10606 PAICS,158 ADSL,471 ATIC,353 APRT,22978 NT5C2,84618 NT5C1A,93034 NT5C1B,30833 NT5C,56953 NT5M,100526794 NT5C1B-RDH14,4907 NT5E,51251 NT5C3A,115024 NT5C3B,4860 PNP,3251 HPRT1,3614 IMPDH1,3615 IMPDH2,10201 NME6,29922 NME7,4831 NME2,4833 NME4,4830 NME1,4832 NME3,654364 NME1-NME2,221264 AK9,956 ENTPD3,377841 ENTPD8,953 ENTPD1,124583 CANT1,9583 ENTPD4,957 ENTPD5,955 ENTPD6,131870 NUDT16,3704 ITPA,7498 XDH,318 NUDT2,8833 GMPS,2766 GMPR,51292 GMPR2,9615 GDA,2987 GUK1,5315 PKM,5313 PKLR,6240 RRM1,50484 RRM2B,6241 RRM2,1716 DGUOK,374659 HDDC3,58497 PRUNE1,107 ADCY1,108 ADCY2,109 ADCY3,196883 ADCY4,111 ADCY5,112 ADCY6,113 ADCY7,114 ADCY8,115 ADCY9,55811 ADCY10,2977 GUCY1A2,2982 GUCY1A1,2983 GUCY1B1,2984 GUCY2C,3000 GUCY2D,2986 GUCY2F,4881 NPR1,4882 NPR2,5136 PDE1A,5153 PDE1B,5137 PDE1C,5138 PDE2A,5139 PDE3A,5140 PDE3B,8654 PDE5A,5145 PDE6A,5158 PDE6B,5146 PDE6C,5147 PDE6D,5148 PDE6G,5149 PDE6H,5152 PDE9A,10846 PDE10A,50940 PDE11A,122622 ADSS1,159 ADSS2,271 AMPD2,272 AMPD3,270 AMPD1,132 ADK,1633 DCK,100 ADA,51816 ADA2,122481 AK7,205 AK4,26289 AK5,204 AK2,203 AK1,158067 AK8,102157402 AK6,50808 AK3,954 ENTPD2,84284 NTPCR,5141 PDE4A,5142 PDE4B,5143 PDE4C,5144 PDE4D,5150 PDE7A,27115 PDE7B,8622 PDE8B,5151 PDE8A,2272 FHIT,22875 ENPP4,9060 PAPSS2,9061 PAPSS1,5167 ENPP1,5169 ENPP3,646625 URAD,55821 ALLC,790 CAD,1723 DHODH,7372 UMPS,51727 CMPK1,129607 CMPK2,1503 CTPS1,56474 CTPS2,83549 UCK1,7371 UCK2,54963 UCKL1,151531 UPP2,7378 UPP1,1806 DPYD,1807 DPYS,51733 UPB1,79077 DCTPP1,1854 DUT,7298 TYMS,978 CDA,1890 TYMP,1635 DCTD,7084 TK2,7083 TK1,1841 DTYMK
has00230 Purine metabolism ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has00240 Pyrimidine metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
