pathway,83592 AKR1E2,57665 RDH14,121214 SDR9C7,137872 ADHFE1,728294 D2HGDH,115817 DHRS1,10202 DHRS2,51635 DHRS7,25979 DHRS7B,201140 DHRS7C,79758 DHRS12,147015 DHRS13,207063 DHRSX,284273 ZADH2,145482 PTGR2,22949 PTGR1,1666 DECR1,253017 TECRL,4015 LOX,4017 LOXL2,84695 LOXL3,84171 LOXL4,4016 LOXL1,2110 ETFDH,5447 POR,55328 RNLS,1429 CRYZ,79912 PYROXD1,5768 QSOX1,169714 QSOX2,4482 MSRA,22921 MSRB2,253827 MSRB3,51734 MSRB1,140809 SRXN1,144811 LACC1,4835 NQO2,7837 PXDN,137902 PXDNL,8544 PIR,83875 BCO2,84842 HPDL,55662 HIF1AN,8846 ALKBH1,54784 ALKBH4,84964 ALKBH6,84266 ALKBH7,55239 OGFOD1,392636 AGMO,5066 PAM,79152 FA2H,83475 DOHH,4552 MTRR,5110 PCMT1,28989 NTMT1,149281 NTMT2,751071 CSKMT,254013 ETFBKMT,155368 METTL27,10994 ILVBL,219970 GLYATL2,375607 NAT16,64921 CASD1,100287520 GLYATL1B,92292 GLYATL1,158833 AWAT1,9397 NMT2,4836 NMT1,131540 ZDHHC19,84885 ZDHHC12,84287 ZDHHC16,254359 ZDHHC24,283576 ZDHHC22,340481 ZDHHC21,254887 ZDHHC23,285848 PNPLA1,347516 DGAT2L6,389396 GLYATL3,117245 PLAAT5,7051 TGM1,7053 TGM3,7047 TGM4,9333 TGM5,116179 TGM7,343641 TGM6,87769 GGACT,170384 FUT11,167127 UGT3A2,133688 UGT3A1,54956 PARP16,56965 PARP6,79668 PARP8,25976 TIPARP,56829 ZC3HAV1,57097 PARP11,64761 PARP12,83666 PARP9,165631 PARP15,54625 PARP14,84875 PARP10,116969 ART5,285605 DTWD2,56986 DTWD1,1725 DHPS,29914 UBIAD1,256356 GK5,64122 FN3K,79672 FN3KRP,79670 TUT7,23318 TUT4,390637 GDPGP1,83642 SELENOO,4081 MAB21L1,100131187 TSTD1,8459 TPST2,8460 TPST1,27233 SULT1C4,6819 SULT1C2,27284 SULT1B1,442038 SULT1C3,25830 SULT4A1,391365 SULT6B1,79783 SUGCT,221223 CES5A,23491 CES3,374569 ASPG,590 BCHE,54414 SIAE,313 AOAH,28992 MACROD1,140733 MACROD2,285148 IAH1,80821 DDHD1,344752 AADACL2,126767 AADACL3,343066 AADACL4,150379 PNPLA5,149998 LIPI,200879 LIPH,340654 LIPM,643418 LIPN,643414 LIPK,142910 LIPJ,51205 ACP6,55 ACP3,93650 ACP4,92370 PXYLP1,403313 PLPP6,79624 ARMT1,54857 GDPD2,51573 GDE1,27293 SMPDL3B,10924 SMPDL3A,414 ARSD,416 ARSF,347527 ARSH,340075 ARSI,79642 ARSJ,153642 ARSK,55959 SULF2,23213 SULF1,1773 DNASE1,128387 TATDN3,83940 TATDN1,9797 TATDN2,1775 DNASE1L2,1776 DNASE1L3,1774 DNASE1L1,8909 ENDOU,59084 ENPP5,670 BPHL,119180 LYZL2,389852 SPACA5,57151 LYZL6,729201 SPACA5B,80162 PGGHG,79694 MANEA,8505 PARG,54936 ADPRS,1486 CTBS,57462 MYORG,141 ADPRH,10591 DNPH1,22846 VASH1,79805 VASH2,64146 PDF,158584 FAAH2,91703 ACY3,123803 NTAN1,55093 NTAQ1,4817 NIT1,11240 PADI2,51702 PADI3,353238 PADI6,29943 PADI1,10930 APOBEC2,403314 APOBEC4,10247 RIDA,256281 NUDT14,55190 NUDT11,11165 NUDT3,11163 NUDT4,170685 NUDT10,57089 ENTPD7,254552 NUDT8,84896 ATAD1,29028 ATAD2,54454 ATAD2B,90957 DHX57,83479 DDX59,166785 MMAA,29085 PHPT1,55728 N4BP2,1652 DDT,100037417 DDTL,171425 CLYBL,55739 NAXD,59344 ALOXE3,55258 THNSL2,282969 FUOM,128240 NAXE,8634 RTCA,9914 ATP2C2,27032 ATP2C1,23400 ATP13A2,57130 ATP13A1,84239 ATP13A4,344905 ATP13A5,79572 ATP13A3,57194 ATP10A,23200 ATP11B,148229 ATP8B3,10079 ATP9A,5205 ATP8B1,374868 ATP9B,79895 ATP8B4,23250 ATP11A,57205 ATP10D,286410 ATP11C,57198 ATP8B2,23120 ATP10B,27109 DMAC2L,2109 ETFB,1528 CYB5A,80777 CYB5B,50640 PNPLA8,80724 ACAD10,84129 ACAD11,200150 PLD5,26580 BSCL2,64748 PLPPR2,54886 PLPPR1,163404 PLPPR5,9890 PLPPR4,79948 PLPPR3,10826 FAXDC2,23052 ENDOD1,56952 PRTFDC1,4947 OAZ2,11212 PLPBP,6017 RLBP1,51714 SELENOT,2638 GC,51117 COQ4,57017 COQ9,80219 COQ10B,93058 COQ10A,55229 PANK4,7274 TTPA,390928 ACP7,127018 LYPLAL1,8721 EDF1,6638 SNRPN,51008 ASCC1,84164 ASCC2,10957 PNRC1,9640 ZNF592,221895 JAZF1,10046 MAMLD1,153222 CREBRF,139135 PASD1,26145 IRF2BP1,359948 IRF2BP2,64207 IRF2BPL,4664 NAB1,4665 NAB2,83637 ZMIZ2,57178 ZMIZ1,57591 MRTFA,57496 MRTFB,93649 MYOCD,4435 CITED1,163732 CITED4,283149 BCL9L,607 BCL9,267012 DAOA,166 TLE5,6050 RNH1,84285 EIF1AD,85451 UNK,84299 MIEN1,56897 WRNIP1,140825 NEURL2,55653 BCAS4,132625 ZFP42,339976 TRIML1,205860 TRIML2,5757 PTMA,1804 DPP6,57628 DPP10,55847 CISD1,284106 CISD3,2702 GJA5,81025 GJA9,127534 GJB4,2709 GJB5,10804 GJB6,375519 GJB7,125111 GJD3,84694 GJA10,23531 MMD,221938 MMD2,54982 CLN6,5239 PGM5,8416 ANXA9,221035 REEP3,51308 REEP2,65055 REEP1,80346 REEP4,5961 PRPH2,6094 ROM1,10867 TSPAN9,83882 TSPAN10,441631 TSPAN11,90139 TSPAN18,10100 TSPAN2,23554 TSPAN12,27075 TSPAN13,6302 TSPAN31,26526 TSPAN16,144448 TSPAN19,10077 TSPAN32,11344 TWF2,5756 TWF1,9452 ITM2A,5376 PMP22,139285 AMER1,56704 JPH1,57338 JPH3,84502 JPH4,57158 JPH2,347736 NME9,124599 CD300LB,100131439 CD300LD,146722 CD300LF,8082 SSPN,7032 TFF2,7033 TFF3,347902 AMIGO2,57463 AMIGO1,386724 AMIGO3,374969 SVBP,166752 FREM3,258 AMBN,265 AMELX,266 AMELY,10117 ENAM,1041 CDSN,1413 CRYBA4,1414 CRYBB1,1417 CRYBB3,1411 CRYBA1,1412 CRYBA2,1415 CRYBB2,1420 CRYGC,1427 CRYGS,155051 CRYGN,1418 CRYGA,1419 CRYGB,1421 CRYGD,3982 LIM2,401138 AMTN,26297 SERGEF,51686 OAZ3,10548 TM9SF1,400954 EML6,550 AUP1,51596 CUTA,51076 CUTC,3047 HBG1,3048 HBG2,3045 HBD,3046 HBE1,3050 HBZ,3049 HBQ1,3042 HBM,26993 AKAP8L,51696 HECA,5375 PMP2,8738 CRADD,3641 INSL4,11172 INSL6,283349 RASSF3,8045 RASSF7,11228 RASSF8,644943 RASSF10,9182 RASSF9,5919 RARRES2,5920 PLAAT4,1082 CGB3,114335 CGB1,114336 CGB2,93659 CGB5,94027 CGB7,94115 CGB8,1822 ATN1,333 APLP1,4883 NPR3,56729 RETN,84666 RETNLB,407 ARR3,116092 DNTTIP1,340205 TREML1,79865 TREML2,80832 APOL4,80833 APOL3,80831 APOL5,23780 APOL2,80830 APOL6,9141 PDCD5,94241 TP53INP1,22906 TRAK1,63940 GPSM3,8786 RGS11,10287 RGS19,26575 RGS17,431704 RGS21,5996 RGS1,5999 RGS4,6000 RGS7,6001 RGS10,6002 RGS12,6003 RGS13,6004 RGS16,64407 RGS18,8601 RGS20,85397 RGS8,9628 RGS6,8490 RGS5,445815 PALM2AKAP2,5064 PALM,54873 PALMD,10566 AKAP3,8852 AKAP4,9472 AKAP6,9465 AKAP7,10270 AKAP8,9590 AKAP12,158798 AKAP14,56971 CEACAM19,128646 SIRPD,1381 CRABP1,10252 SPRY1,10251 SPRY3,81848 SPRY4,57139 RGL3,23108 RAP1GAP2,56890 MDM1,11123 RCAN3,51657 STYXL1,663 BNIP2,149428 BNIPL,158471 PRUNE2,85300 ATCAY,10017 BCL2L10,4256 MGP,4692 NDN,375298 CERKL,768206 PRCD,147372 CCBE1,5132 PDC,130026 ICA1L,58496 LY6G5B,80741 LY6G5C,259215 LY6G6F,163351 GBP6,165 AEBP1,10974 ADIRF,149685 ADIG,54851 ANKRD49,1401 CRP,168002 DACT2,51339 DACT1,147906 DACT3,164684 WBP2NL,55180 LINS1,374383 NCR3LG1,7087 ICAM5,79827 CLMP,50512 PODXL2,146894 CD300LG,51705 EMCN,23129 PLXND1,347730 LRRTM1,26045 LRRTM2,4974 OMG,126259 TMIGD2,30010 NXPH1,11249 NXPH2,11248 NXPH3,342035 GLDN,146760 RTN4RL1,349667 RTN4RL2,57019 CIAPIN1,150209 AIFM3,220296 HEPACAM,325 APCS,126695 KDF1,497189 TIFAB,79931 TNIP3,26012 NSMF,1893 ECM1,2907 GRINA,51643 TMBIM4,64114 TMBIM1,23017 FAIM2,23676 SMPX,374393 FAM111B,643226 GRXCR2,285834 HCG22,54870 QRICH1,84074 QRICH2,152816 ODAPH,83938 LRMDA,25878 MXRA5,439921 MXRA7,58986 PGAP6,51754 TMEM8B,389827 MYMK,101929726 MYMX,65117 RSRC2,26018 LRIG1,121227 LRIG3,9949 AMMECR1,83607 AMMECR1L,79641 ROGDI,161497 STRC,22982 DIP2C,4071 TM4SF1,7104 TM4SF4,9032 TM4SF5,116441 TM4SF18,116211 TM4SF19,79853 TM4SF20,54834 GDAP2,340990 OTOG,283310 OTOGL,9772 TMEM94,26022 TMEM98,113277 TMEM106A,79022 TMEM106C,55654 TMEM127,55780 ERMARD,387715 ARMS2,157657 CFAP418,8882 ZPR1,51020 HDDC2,9317 PTER,84696 ABHD1,171586 ABHD3,11057 ABHD2,116236 ABHD15,256130 TMEM196,389177 TMEM212,1687 GSDME,494513 PJVK,54877 ZCCHC2,285600 C5orf36,339453 TMEM240,1819 DRG2,256302 NATD1,10741 RBBP9,56948 SDR39U1,123207 C15orf40
has99980 Enzymes with EC numbers,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has99982 Energy metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has99983 Lipid metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has99984 Nucleotide metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has99985 Amino acid metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has99987 Cofactor metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has99999 Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
